,date,id_station,min_entre,max_entre,min_exit,max_exit
74,12-28-13,A022_R022_01-06-01,3223348.0,3224279.0,4430833.0,4433575.0
75,12-28-13,A025_R023_01-00-00,195373.0,196801.0,370028.0,372478.0
76,12-28-13,A025_R023_01-00-01,6324954.0,6326782.0,2694810.0,2695809.0
77,12-28-13,A025_R023_01-00-02,7857208.0,7858955.0,2053930.0,2054560.0
78,12-28-13,A025_R023_01-00-03,2283382.0,2285064.0,573658.0,574156.0
79,12-28-13,A025_R023_01-03-00,1169250.0,1171292.0,483136.0,484138.0
80,12-28-13,A025_R023_01-03-01,8576274.0,8578239.0,5389769.0,5391122.0
81,12-28-13,A025_R023_01-03-02,10497839.0,10500087.0,7916919.0,7918681.0
82,12-28-13,A025_R023_01-06-00,6824967.0,6826109.0,17005952.0,17009500.0
83,12-28-13,A025_R023_01-06-01,10671578.0,10672833.0,21050962.0,21053810.0
84,12-28-13,A025_R023_01-06-02,4462508.0,4462933.0,5734682.0,5735596.0
85,12-28-13,A027_R082_01-00-00,638577.0,639348.0,824279.0,825357.0
86,12-28-13,A027_R082_01-03-00,2620470.0,2621315.0,1356084.0,1356507.0
87,12-28-13,A027_R082_01-03-01,555123.0,555812.0,310126.0,310522.0
88,12-28-13,A027_R082_01-03-02,449046.0,449641.0,464478.0,465052.0
89,12-28-13,A027_R082_01-03-03,923998.0,924452.0,1594355.0,1594874.0
90,12-28-13,A029_R082_00-00-00,2831646.0,2832029.0,9474146.0,9476084.0
91,12-28-13,A029_R082_00-00-01,4031350.0,4031939.0,4651210.0,4652227.0
92,12-28-13,A029_R082_00-03-00,4820866.0,4821664.0,4378994.0,4379766.0
93,12-28-13,A029_R082_00-03-01,1324267.0,1325057.0,1401088.0,1402142.0
94,12-28-13,A030_R083_01-00-00,3949871.0,3950969.0,2511031.0,2511603.0
95,12-28-13,A030_R083_01-00-01,4607109.0,4607817.0,1649530.0,1649734.0
96,12-28-13,A030_R083_01-00-02,3335465.0,3335957.0,1586939.0,1587072.0
97,12-28-13,A030_R083_01-03-00,3831742.0,3832482.0,1988143.0,1988337.0
98,12-28-13,A030_R083_01-03-01,5946187.0,5947212.0,1890028.0,1890278.0
99,12-28-13,A030_R083_01-03-02,4534342.0,4535968.0,1354527.0,1355028.0
100,12-28-13,A030_R083_01-06-00,4887490.0,4888266.0,2789189.0,2789771.0
101,12-28-13,A030_R083_01-06-01,400448.0,400875.0,293883.0,294485.0
102,12-28-13,A031_R083_00-00-00,2640807.0,2642106.0,1226533.0,1227171.0
103,12-28-13,A031_R083_00-00-01,1234458.0,1235316.0,394526.0,394838.0
104,12-28-13,A031_R083_00-00-02,4035401.0,4036058.0,2199716.0,2200064.0
105,12-28-13,A031_R083_00-03-00,1573642.0,1573856.0,3056858.0,3057256.0
106,12-28-13,A031_R083_00-03-01,2493130.0,2493481.0,2807133.0,2807569.0
107,12-28-13,A031_R083_00-03-02,1152749.0,1153315.0,1356793.0,1357784.0
108,12-28-13,A033_R170_02-00-00,353523.0,353917.0,888358.0,889831.0
109,12-28-13,A033_R170_02-00-01,2131708.0,2132400.0,2676683.0,2677861.0
110,12-28-13,A033_R170_02-00-02,10274534.0,10275582.0,9608862.0,9610259.0
111,12-28-13,A033_R170_02-00-03,433487.0,435089.0,477236.0,479402.0
112,12-28-13,A033_R170_02-00-04,16782182.0,16784415.0,12989011.0,12990867.0
113,12-28-13,A033_R170_02-00-05,5564004.0,5566991.0,2187147.0,2188651.0
114,12-28-13,A033_R170_02-06-00,1275828.0,1275876.0,3190842.0,3191481.0
115,12-28-13,A033_R170_02-06-01,151500383.0,151501144.0,619282.0,620906.0
116,12-28-13,A034_R170_03-00-00,736508.0,737044.0,4753591.0,4757706.0
117,12-28-13,A034_R170_03-00-01,8673461.0,8674430.0,13031439.0,13033853.0
118,12-28-13,A034_R170_03-00-02,351465.0,353132.0,268764.0,270255.0
119,12-28-13,A034_R170_03-03-00,11702522.0,11703861.0,24835644.0,24839286.0
120,12-28-13,A034_R170_03-03-01,68022.0,70248.0,46640.0,48120.0
121,12-28-13,A034_R170_03-03-02,2418907.0,2422280.0,278389.0,278843.0
122,12-28-13,A034_R170_03-06-00,1026515.0,1027356.0,448044.0,448449.0
123,12-28-13,A034_R170_03-06-01,101618930.0,101620403.0,616997.0,618161.0
124,12-28-13,A034_R170_03-06-02,3455294.0,3456667.0,4796220.0,4798385.0
125,12-28-13,A035_R170_00-00-00,277281.0,277403.0,1091308.0,1091586.0
126,12-28-13,A035_R170_00-00-01,395040.0,395385.0,1161660.0,1162841.0
127,12-28-13,A035_R170_00-00-02,5175517.0,5176008.0,11133217.0,11134902.0
128,12-28-13,A035_R170_00-00-03,1326284.0,1327209.0,1126342.0,1127714.0
129,12-28-13,A035_R170_00-00-04,748184.0,749811.0,136758.0,137367.0
130,12-28-13,A037_R170_05-00-00,923661.0,926407.0,697620.0,699864.0
131,12-28-13,A037_R170_05-00-01,903012.0,905637.0,476942.0,478536.0
132,12-28-13,A037_R170_05-00-02,1318124.0,1320751.0,372712.0,373663.0
133,12-28-13,A037_R170_05-00-03,17698369.0,17700785.0,3385862.0,3386170.0
134,12-28-13,A038_R085_00-00-00,1005688.0,1006664.0,759470.0,760054.0
135,12-28-13,A038_R085_00-00-01,1338005.0,1339326.0,377533.0,377852.0
136,12-28-13,A038_R085_00-00-02,9586360.0,9587704.0,1122845.0,1123052.0
137,12-28-13,A038_R085_00-00-03,944258.0,945410.0,204845.0,205077.0
138,12-28-13,A038_R085_00-00-04,3368859.0,3369668.0,1959376.0,1959851.0
139,12-28-13,A038_R085_00-06-00,101778603.0,101780892.0,104990.0,105233.0
140,12-28-13,A039_R085_01-00-00,254568.0,254916.0,1343335.0,1345657.0
141,12-28-13,A039_R085_01-00-01,736907.0,737329.0,1218366.0,1219517.0
142,12-28-13,A039_R085_01-00-02,1068980.0,1069514.0,749805.0,750302.0
143,12-28-13,A039_R085_01-03-00,2041052.0,2041320.0,4496020.0,4496740.0
144,12-28-13,A039_R085_01-03-01,1663981.0,1664155.0,9476371.0,9477844.0
145,12-28-13,A039_R085_01-06-00,4903188.0,4904005.0,3270139.0,3270751.0
146,12-28-13,A041_R086_00-00-00,7656177.0,7658887.0,2708435.0,2709217.0
147,12-28-13,A041_R086_00-00-01,9432496.0,9435134.0,2536734.0,2537243.0
148,12-28-13,A041_R086_00-00-02,9696240.0,9698824.0,2459849.0,2460374.0
149,12-28-13,A041_R086_00-00-03,9126563.0,9129075.0,3678312.0,3679138.0
150,12-28-13,A041_R086_00-00-04,5255780.0,5258357.0,2646710.0,2647699.0
151,12-28-13,A042_R086_01-00-00,366810.0,367227.0,2835186.0,2838614.0
152,12-28-13,A042_R086_01-00-01,490721.0,491379.0,1594027.0,1596755.0
153,12-28-13,A042_R086_01-00-02,371584.0,372468.0,562259.0,563954.0
154,12-28-13,A042_R086_01-00-03,2913900.0,2914869.0,3995462.0,3997013.0
155,12-28-13,A042_R086_01-00-04,1549297.0,1550028.0,6554151.0,6556628.0
156,12-28-13,A043_R462_00-00-00,737547.0,739857.0,908298.0,910648.0
157,12-28-13,A043_R462_00-00-01,919681.0,922370.0,1146376.0,1149129.0
158,12-28-13,A043_R462_00-00-02,8948249.0,8951579.0,8812444.0,8814627.0
159,12-28-13,A043_R462_00-03-00,3282136.0,3282136.0,2369054.0,2369055.0
160,12-28-13,A043_R462_00-03-01,3551411.0,3551411.0,1195517.0,1195517.0
161,12-28-13,A043_R462_00-03-02,2931930.0,2931930.0,1226832.0,1226832.0
162,12-28-13,A043_R462_00-03-03,2232625.0,2232625.0,1017371.0,1017371.0
163,12-28-13,A043_R462_00-03-04,7187826.0,7187826.0,6517455.0,6517455.0
164,12-28-13,A043_R462_00-06-00,2388037.0,2388037.0,1875437.0,1875437.0
165,12-28-13,A043_R462_00-06-01,1408739.0,1408739.0,706719.0,706719.0
166,12-28-13,A043_R462_00-06-02,5008008.0,5008008.0,4926442.0,4926442.0
167,12-28-13,A046_R463_00-00-00,2843165.0,2843779.0,281278.0,281363.0
168,12-28-13,A046_R463_00-00-01,6092533.0,6093543.0,371857.0,371949.0
169,12-28-13,A046_R463_00-00-02,5766624.0,5767950.0,338276.0,338397.0
170,12-28-13,A046_R463_00-00-03,2220895.0,2222277.0,191434.0,191588.0
171,12-28-13,A046_R463_00-03-00,6991958.0,6993187.0,5516358.0,5517749.0
172,12-28-13,A046_R463_00-03-01,9349683.0,9351312.0,9926701.0,9929014.0
173,12-28-13,A046_R463_00-05-00,589.0,591.0,0.0,0.0
174,12-28-13,A046_R463_00-05-01,0.0,0.0,754.0,754.0
175,12-28-13,A046_R463_00-05-02,186.0,186.0,0.0,0.0
176,12-28-13,A046_R463_00-05-03,0.0,0.0,161.0,161.0
177,12-28-13,A046_R463_00-06-00,6626814.0,6629400.0,2004368.0,2005322.0
178,12-28-13,A046_R463_00-06-01,7291202.0,7294071.0,1386968.0,1387811.0
179,12-28-13,A046_R463_00-06-02,7101352.0,7103902.0,1510327.0,1510875.0
180,12-28-13,A046_R463_00-06-03,725890.0,726268.0,591916.0,595157.0
181,12-28-13,A046_R463_00-06-04,2743395.0,2744090.0,5614855.0,5616495.0
182,12-28-13,A046_R463_00-06-05,2766699.0,2767218.0,6794979.0,6795845.0
183,12-28-13,A046_R463_00-06-06,100986701.0,100987483.0,17662676.0,17665111.0
184,12-28-13,A046_R463_00-06-07,3419313.0,3420084.0,10028567.0,10030616.0
185,12-28-13,A046_R463_00-06-08,789376.0,789901.0,6518893.0,6520837.0
186,12-28-13,A047_R087_00-00-00,6362097.0,6362097.0,3690570.0,3690571.0
187,12-28-13,A047_R087_00-00-01,2069962.0,2069962.0,966157.0,966157.0
188,12-28-13,A047_R087_00-00-02,6186233.0,6186233.0,4469211.0,4469211.0
189,12-28-13,A047_R087_00-03-00,4546874.0,4546874.0,1586279.0,1586279.0
190,12-28-13,A047_R087_00-03-01,1282146.0,1282146.0,313355.0,313355.0
191,12-28-13,A047_R087_00-03-02,5349138.0,5349138.0,2272376.0,2272376.0
192,12-28-13,A047_R087_00-06-00,48544.0,48544.0,6978.0,6982.0
193,12-28-13,A047_R087_00-06-01,507630.0,507630.0,250946.0,250946.0
194,12-28-13,A047_R087_00-06-02,1354450.0,1354450.0,2096953.0,2096957.0
195,12-28-13,A050_R088_00-00-00,3380967.0,3380967.0,4666632.0,4666637.0
196,12-28-13,A050_R088_00-00-01,3141041.0,3141041.0,2967565.0,2967577.0
197,12-28-13,A050_R088_00-02-00,2840850.0,2840850.0,1559092.0,1559093.0
