,date,busy
0,2013-12-25,3737477.0
1,2013-02-09,3814315.0
2,2013-03-31,3997139.0
3,2013-02-24,4027162.0
4,2013-01-13,4061057.0
5,2013-02-10,4069806.0
6,2013-01-20,4097374.0
7,2013-07-07,4104681.0
8,2013-12-29,4108228.0
9,2013-03-24,4163031.0
